f	v
0.00	0.00022
1.86	0.00011
3.72	0.00022
5.58	0.00047
7.44	0.00056
9.30	0.00050
11.15	0.00039
13.01	0.00027
14.87	0.00014
16.73	0.00008
18.59	0.00010
20.45	0.00013
22.31	0.00020
24.17	0.00027
26.03	0.00031
27.89	0.00034
29.75	0.00040
31.60	0.00048
33.46	0.00053
35.32	0.00056
37.18	0.00059
39.04	0.00059
40.90	0.00054
42.76	0.00042
44.62	0.00029
46.48	0.00026
48.34	0.00028
50.20	0.00032
52.06	0.00037
53.91	0.00035
55.77	0.00024
57.63	0.00011
59.49	0.00019
61.35	0.00030
63.21	0.00040
65.07	0.00051
66.93	0.00057
68.79	0.00058
70.65	0.00054
72.51	0.00047
74.36	0.00040
76.22	0.00041
78.08	0.00049
79.94	0.00057
81.80	0.00058
83.66	0.00050
85.52	0.00036
87.38	0.00023
89.24	0.00021
91.10	0.00030
92.96	0.00042
94.81	0.00053
96.67	0.00063
98.53	0.00069
100.39	0.00069
102.25	0.00062
104.11	0.00056
105.97	0.00058
107.83	0.00065
109.69	0.00073
111.55	0.00074
113.41	0.00070
115.26	0.00060
117.12	0.00049
118.98	0.00043
120.84	0.00048
122.70	0.00062
124.56	0.00072
126.42	0.00073
128.28	0.00067
130.14	0.00057
132.00	0.00047
133.86	0.00044
135.71	0.00062
137.57	0.00090
139.43	0.00108
141.29	0.00108
143.15	0.00095
145.01	0.00078
146.87	0.00062
148.73	0.00057
150.59	0.00072
152.45	0.00095
154.31	0.00110
156.17	0.00112
158.02	0.00107
159.88	0.00100
161.74	0.00087
163.60	0.00079
165.46	0.00101
167.32	0.00150
169.18	0.00188
171.04	0.00190
172.90	0.00175
174.76	0.00163
176.62	0.00149
178.47	0.00139
180.33	0.00176
182.19	0.00289
184.05	0.00380
185.91	0.00320
187.77	0.00270
189.63	0.00505
191.49	0.00810
193.35	0.00122
195.21	0.03578
197.07	0.09258
198.92	0.14346
200.78	0.15615
202.64	0.12255
204.50	0.06617
206.36	0.02032
208.22	0.00096
210.08	0.00076
211.94	0.00408
213.80	0.00424
215.66	0.00268
217.52	0.00211
219.37	0.00219
221.23	0.00173
223.09	0.00106
224.95	0.00111
226.81	0.00162
228.67	0.00187
230.53	0.00169
232.39	0.00137
234.25	0.00108
236.11	0.00081
237.97	0.00068
239.83	0.00078
241.68	0.00097
243.54	0.00101
245.40	0.00090
247.26	0.00076
249.12	0.00064
250.98	0.00050
252.84	0.00034
254.70	0.00042
256.56	0.00072
258.42	0.00090
260.28	0.00088
262.13	0.00075
263.99	0.00061
265.85	0.00050
267.71	0.00047
269.57	0.00050
271.43	0.00051
273.29	0.00050
275.15	0.00049
277.01	0.00047
278.87	0.00042
280.73	0.00034
282.58	0.00031
284.44	0.00037
286.30	0.00046
288.16	0.00050
290.02	0.00047
291.88	0.00039
293.74	0.00029
295.60	0.00025
297.46	0.00025
299.32	0.00026
301.18	0.00029
303.03	0.00034
304.89	0.00040
306.75	0.00043
308.61	0.00039
310.47	0.00030
312.33	0.00022
314.19	0.00021
316.05	0.00029
317.91	0.00037
319.77	0.00038
321.63	0.00031
323.49	0.00020
325.34	0.00013
327.20	0.00022
329.06	0.00030
330.92	0.00033
332.78	0.00032
334.64	0.00028
336.50	0.00026
338.36	0.00023
340.22	0.00020
342.08	0.00018
343.94	0.00019
345.79	0.00023
347.65	0.00030
349.51	0.00033
351.37	0.00031
353.23	0.00026
355.09	0.00019
356.95	0.00011
358.81	0.00009
360.67	0.00014
362.53	0.00019
364.39	0.00025
366.24	0.00032
368.10	0.00035
369.96	0.00033
371.82	0.00031
373.68	0.00033
375.54	0.00039
377.40	0.00040
379.26	0.00031
381.12	0.00018
382.98	0.00013
384.84	0.00012
386.69	0.00007
388.55	0.00008
390.41	0.00015
392.27	0.00019
394.13	0.00020
395.99	0.00018
397.85	0.00017
399.71	0.00018
401.57	0.00023
403.43	0.00027
405.29	0.00027
407.14	0.00023
409.00	0.00021
410.86	0.00027
412.72	0.00033
414.58	0.00036
416.44	0.00036
418.30	0.00033
420.16	0.00028
422.02	0.00021
423.88	0.00013
425.74	0.00009
427.60	0.00009
429.45	0.00012
431.31	0.00012
433.17	0.00007
435.03	0.00012
436.89	0.00023
438.75	0.00027
440.61	0.00025
442.47	0.00024
444.33	0.00025
446.19	0.00028
448.05	0.00029
449.90	0.00028
451.76	0.00027
453.62	0.00027
455.48	0.00025
457.34	0.00019
459.20	0.00013
461.06	0.00008
462.92	0.00004
464.78	0.00004
466.64	0.00007
468.50	0.00008
470.35	0.00008
472.21	0.00006
474.07	0.00008
475.93	0.00011
477.79	0.00010
479.65	0.00011
481.51	0.00016
483.37	0.00022
485.23	0.00024
487.09	0.00023
488.95	0.00021
490.80	0.00017
492.66	0.00013
494.52	0.00011
496.38	0.00013
498.24	0.00015
500.10	0.00014
501.96	0.00009
503.82	0.00005
505.68	0.00004
507.54	0.00004
509.40	0.00001
511.26	0.00001
513.11	0.00003
514.97	0.00008
516.83	0.00014
518.69	0.00018
520.55	0.00020
522.41	0.00022
524.27	0.00025
526.13	0.00028
527.99	0.00029
529.85	0.00027
531.71	0.00021
533.56	0.00010
535.42	0.00004
537.28	0.00009
539.14	0.00008
541.00	0.00005
542.86	0.00008
544.72	0.00016
546.58	0.00022
548.44	0.00022
550.30	0.00014
552.16	0.00008
554.01	0.00022
555.87	0.00035
557.73	0.00040
559.59	0.00038
561.45	0.00030
563.31	0.00019
565.17	0.00008
567.03	0.00002
568.89	0.00008
570.75	0.00012
572.61	0.00015
574.46	0.00016
576.32	0.00015
578.18	0.00011
580.04	0.00006
581.90	0.00013
583.76	0.00022
585.62	0.00029
587.48	0.00032
589.34	0.00030
591.20	0.00026
593.06	0.00022
594.91	0.00020
596.77	0.00021
598.63	0.00021
600.49	0.00020
602.35	0.00015
604.21	0.00008
606.07	0.00008
607.93	0.00015
609.79	0.00015
611.65	0.00008
613.51	0.00003
615.37	0.00010
617.22	0.00013
619.08	0.00015
620.94	0.00016
622.80	0.00016
624.66	0.00013
626.52	0.00009
628.38	0.00006
630.24	0.00007
632.10	0.00009
633.96	0.00010
635.82	0.00007
637.67	0.00001
639.53	0.00002
641.39	0.00006
643.25	0.00011
645.11	0.00017
646.97	0.00020
648.83	0.00018
650.69	0.00010
652.55	0.00003
654.41	0.00014
656.27	0.00022
658.12	0.00023
659.98	0.00020
661.84	0.00017
663.70	0.00017
665.56	0.00020
667.42	0.00020
669.28	0.00018
671.14	0.00015
673.00	0.00010
674.86	0.00005
676.72	0.00008
678.57	0.00013
680.43	0.00014
682.29	0.00011
684.15	0.00006
686.01	0.00004
687.87	0.00006
689.73	0.00008
691.59	0.00011
693.45	0.00015
695.31	0.00017
697.17	0.00019
699.03	0.00021
700.88	0.00022
702.74	0.00024
704.60	0.00024
706.46	0.00022
708.32	0.00021
710.18	0.00020
712.04	0.00019
713.90	0.00018
715.76	0.00021
717.62	0.00024
719.48	0.00024
721.33	0.00019
723.19	0.00016
725.05	0.00025
726.91	0.00032
728.77	0.00032
730.63	0.00028
732.49	0.00025
734.35	0.00023
736.21	0.00022
738.07	0.00019
739.93	0.00015
741.78	0.00014
743.64	0.00014
745.50	0.00012
747.36	0.00008
749.22	0.00004
751.08	0.00004
752.94	0.00006
754.80	0.00009
756.66	0.00012
758.52	0.00014
760.38	0.00015
762.23	0.00018
764.09	0.00024
765.95	0.00027
767.81	0.00028
769.67	0.00026
771.53	0.00024
773.39	0.00022
775.25	0.00021
777.11	0.00020
778.97	0.00018
780.83	0.00017
782.69	0.00016
784.54	0.00015
786.40	0.00013
788.26	0.00008
790.12	0.00007
791.98	0.00013
793.84	0.00017
795.70	0.00015
797.56	0.00011
799.42	0.00009
801.28	0.00009
803.14	0.00007
804.99	0.00004
806.85	0.00001
808.71	0.00005
810.57	0.00010
812.43	0.00015
814.29	0.00016
816.15	0.00015
818.01	0.00014
819.87	0.00014
821.73	0.00014
823.59	0.00013
825.44	0.00012
827.30	0.00010
829.16	0.00009
831.02	0.00011
832.88	0.00017
834.74	0.00020
836.60	0.00020
838.46	0.00020
840.32	0.00019
842.18	0.00017
844.04	0.00015
845.89	0.00016
847.75	0.00020
849.61	0.00021
851.47	0.00019
853.33	0.00017
855.19	0.00017
857.05	0.00018
858.91	0.00017
860.77	0.00010
862.63	0.00002
864.49	0.00009
866.34	0.00015
868.20	0.00018
870.06	0.00019
871.92	0.00019
873.78	0.00019
875.64	0.00020
877.50	0.00019
879.36	0.00019
881.22	0.00020
883.08	0.00022
884.94	0.00023
886.80	0.00023
888.65	0.00024
890.51	0.00025
892.37	0.00023
894.23	0.00019
896.09	0.00017
897.95	0.00018
899.81	0.00022
901.67	0.00025
903.53	0.00023
905.39	0.00017
907.25	0.00009
909.10	0.00008
910.96	0.00011
912.82	0.00014
914.68	0.00015
916.54	0.00014
918.40	0.00013
920.26	0.00009
922.12	0.00004
923.98	0.00001
925.84	0.00006
927.70	0.00012
929.55	0.00017
931.41	0.00019
933.27	0.00019
935.13	0.00017
936.99	0.00014
938.85	0.00010
940.71	0.00006
942.57	0.00004
944.43	0.00009
946.29	0.00012
948.15	0.00011
950.00	0.00006
